DATE,VIX
31/03/2014,13.88
01/04/2014,13.1
02/04/2014,13.09
03/04/2014,13.37
04/04/2014,13.96
07/04/2014,15.57
08/04/2014,14.89
09/04/2014,13.82
10/04/2014,15.89
11/04/2014,17.03
14/04/2014,16.11
15/04/2014,15.61
16/04/2014,14.18
17/04/2014,13.36
21/04/2014,13.25
22/04/2014,13.19
23/04/2014,13.27
24/04/2014,13.32
25/04/2014,14.06
28/04/2014,13.97
29/04/2014,13.71
30/04/2014,13.41
01/05/2014,13.25
02/05/2014,12.91
05/05/2014,13.29
06/05/2014,13.8
07/05/2014,13.4
08/05/2014,13.43
09/05/2014,12.92
12/05/2014,12.23
13/05/2014,12.13
14/05/2014,12.17
15/05/2014,13.17
16/05/2014,12.44
19/05/2014,12.42
20/05/2014,12.96
21/05/2014,11.91
22/05/2014,12.03
23/05/2014,11.36
27/05/2014,11.51
28/05/2014,11.68
29/05/2014,11.57
30/05/2014,11.4
02/06/2014,11.58
03/06/2014,11.87
04/06/2014,12.08
05/06/2014,11.68
06/06/2014,10.73
09/06/2014,11.15
10/06/2014,10.99
11/06/2014,11.6
12/06/2014,12.56
13/06/2014,12.18
16/06/2014,12.65
17/06/2014,12.06
18/06/2014,10.61
19/06/2014,10.62
20/06/2014,10.85
23/06/2014,10.98
24/06/2014,12.13
25/06/2014,11.59
26/06/2014,11.63
27/06/2014,11.26
30/06/2014,11.57
01/07/2014,11.15
02/07/2014,10.82
03/07/2014,10.32
07/07/2014,11.33
08/07/2014,11.98
09/07/2014,11.65
10/07/2014,12.59
11/07/2014,12.08
14/07/2014,11.82
15/07/2014,11.96
16/07/2014,11
17/07/2014,14.54
18/07/2014,12.06
21/07/2014,12.81
22/07/2014,12.24
23/07/2014,11.52
24/07/2014,11.84
25/07/2014,12.69
28/07/2014,12.56
29/07/2014,13.28
30/07/2014,13.33
31/07/2014,16.95
01/08/2014,17.03
04/08/2014,15.12
05/08/2014,16.87
06/08/2014,16.37
07/08/2014,16.66
08/08/2014,15.77
11/08/2014,14.23
12/08/2014,14.13
13/08/2014,12.9
14/08/2014,12.42
15/08/2014,13.15
18/08/2014,12.32
19/08/2014,12.21
20/08/2014,11.78
21/08/2014,11.76
22/08/2014,11.47
25/08/2014,11.7
26/08/2014,11.63
27/08/2014,11.78
28/08/2014,12.05
29/08/2014,11.98
02/09/2014,12.25
03/09/2014,12.36
04/09/2014,12.64
05/09/2014,12.09
08/09/2014,12.66
09/09/2014,13.5
10/09/2014,12.88
11/09/2014,12.8
12/09/2014,13.31
15/09/2014,14.12
16/09/2014,12.73
17/09/2014,12.65
18/09/2014,12.03
19/09/2014,12.11
22/09/2014,13.69
23/09/2014,14.93
24/09/2014,13.27
25/09/2014,15.64
26/09/2014,14.85
29/09/2014,15.98
30/09/2014,16.31
01/10/2014,16.71
02/10/2014,16.16
03/10/2014,14.55
06/10/2014,15.46
07/10/2014,17.2
08/10/2014,15.11
09/10/2014,18.76
10/10/2014,21.24
13/10/2014,24.64
14/10/2014,22.79
15/10/2014,26.25
16/10/2014,25.2
17/10/2014,21.99
20/10/2014,18.57
21/10/2014,16.08
22/10/2014,17.87
23/10/2014,16.53
24/10/2014,16.11
27/10/2014,16.04
28/10/2014,14.39
29/10/2014,15.15
30/10/2014,14.52
31/10/2014,14.03
03/11/2014,14.73
04/11/2014,14.89
05/11/2014,14.17
06/11/2014,13.67
07/11/2014,13.12
10/11/2014,12.67
11/11/2014,12.92
12/11/2014,13.02
13/11/2014,13.79
14/11/2014,13.31
17/11/2014,13.99
18/11/2014,13.86
19/11/2014,13.96
20/11/2014,13.58
21/11/2014,12.9
24/11/2014,12.62
25/11/2014,12.25
26/11/2014,12.07
28/11/2014,13.33
01/12/2014,14.29
02/12/2014,12.85
03/12/2014,12.47
04/12/2014,12.38
05/12/2014,11.82
08/12/2014,14.21
09/12/2014,14.89
10/12/2014,18.53
11/12/2014,20.08
12/12/2014,21.08
15/12/2014,20.42
16/12/2014,23.57
17/12/2014,19.44
